society,price,sector,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,property_type,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
ireo victory valley,2.0,sector 67,1183.0,16903.0,Super Built up area 2527(234.77 sq.m.)Built Up area: 2200 sq.ft. (204.39 sq.m.)Carpet area: 2100 sq.ft. (195.1 sq.m.),3,3,3,4.0,East,Relatively New,,2527.0,2200.0,2100.0,0,1,0,0,0,2,37,5634.333333333333
huda,3.5,sector 38,24005.0,1458.0,Plot area 162(135.45 sq.m.)Built Up area: 161 sq.yards (134.62 sq.m.)Carpet area: 160 sq.yards (133.78 sq.m.),3,2,3,2.0,East,Moderately Old,house,,161.0,160.0,0,0,1,0,0,2,85,486.0
godrej oasis,1.0,sector 88a,668.0,14972.0,Carpet area: 2066 (191.94 sq.m.),3,3,3+,7.0,North,Relatively New,,,,2066.0,0,1,0,0,0,1,72,4990.666666666667
tulip violet,1.0,sector 69,1071.0,9334.0,Super Built up area 1578(146.6 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,2,8.0,North-East,Relatively New,,1578.0,,1400.0,0,0,0,1,0,2,174,3111.3333333333335
m3m woodshire,1.0,sector 107,614.0,16284.0,Super Built up area 2361(219.34 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.),3,4,3+,7.0,South,Relatively New,,2361.0,1900.0,,0,1,0,0,0,1,67,5428.0
shree vardhman victoria,1.0,sector 70,795.0,12582.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3,5,3,8.0,South,Relatively New,,1950.0,,1161.0,0,1,0,0,0,1,174,4194.0
alpha corp gurgaonone,2.0,sector 84,641.0,31221.0,Super Built up area 3434(319.03 sq.m.),4,4,3+,15.0,South-West,Relatively New,,3434.0,,,0,1,0,0,0,1,97,7805.25
conscient heritage max,2.0,sector 102,1163.0,17192.0,Super Built up area 2149(199.65 sq.m.),3,4,3+,25.0,North-East,New Property,,2149.0,,,1,1,0,0,0,2,56,5730.666666666667
supertech basera,0.03,sector 79,763.0,393.0,Built Up area: 546 (50.73 sq.m.)Carpet area: 471 sq.ft. (43.76 sq.m.),2,2,1,4.0,,New Property,,,546.0,471.0,0,0,0,0,0,1,60,196.5
signature global solera,0.02,sector 107,568.0,352.0,Carpet area: 489 (45.43 sq.m.),2,2,2,6.0,West,Relatively New,,,,489.0,0,0,0,0,0,1,45,176.0
mapsko mount ville,1.0,sector 79,854.0,11711.0,Super Built up area 1815(168.62 sq.m.)Carpet area: 1071.33 sq.ft. (99.53 sq.m.),3,4,3,11.0,South-West,Relatively New,,1815.0,,1071.33,0,1,0,0,0,2,152,3903.6666666666665
supertech araville,0.07,sector 79,602.0,1162.0,Super Built up area 1295(120.31 sq.m.),2,2,3+,0.0,,New Property,,1295.0,,,0,0,0,0,1,1,74,581.0
puri diplomatic greens,3.0,sector 111,1153.0,26030.0,Super Built up area 2950(274.06 sq.m.),4,5,3+,14.0,East,Relatively New,,2950.0,,,0,1,0,0,0,2,94,6507.5
tashee capital gateway,0.09,sector 111,650.0,1385.0,Super Built up area 1478(137.31 sq.m.),2,2,1,4.0,North,Under Construction,,1478.0,,,1,0,0,0,0,1,53,692.5
independent,3.6,sector 57,20833.0,1728.0,Plot area 192(160.54 sq.m.),4,4,2,2.0,South,Old Property,house,,1728.0,,1,1,1,1,0,1,110,432.0
shree vardhman victoria,1.0,sector 70,913.0,10955.0,Super Built up area 1950(181.16 sq.m.),3,3,3+,7.0,North-East,Relatively New,,1950.0,,,0,1,0,0,1,1,49,3651.6666666666665
pareena mi casa,1.0,sector 68,816.0,12250.0,Carpet area: 1225 (113.81 sq.m.),2,2,2,16.0,,New Property,,,,1225.0,0,1,0,0,0,1,65,6125.0
dlf the ultima,2.0,sector 81,1141.0,17525.0,Super Built up area 2103(195.38 sq.m.)Built Up area: 1650 sq.ft. (153.29 sq.m.)Carpet area: 1257 sq.ft. (116.78 sq.m.),3,3,3+,12.0,North-East,Relatively New,,2103.0,1650.0,1257.0,0,1,0,0,0,0,49,5841.666666666667
independent,2.5,sector 43,2885.0,8667.0,Plot area 107(89.47 sq.m.),7,7,3,4.0,West,Relatively New,house,,963.0,,0,0,0,0,1,0,20,1238.142857142857
