society,price,sector,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,property_type,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
paras dews,1.0,sector 106,7297.0,13704.0,Super Built up area 2355(218.79 sq.m.)Built Up area: 2100 sq.ft. (195.1 sq.m.)Carpet area: 1850 sq.ft. (171.87 sq.m.),4,4,3+,18.0,North-East,Relatively New,,2355.0,2100.0,1850.0,0,1,0,1,0,2,174
signature global city 92,0.75,sector 92,7820.0,959.0,Built Up area: 959 (89.09 sq.m.),2,2,3,1.0,,Undefined,house,,959.0,,0,0,0,0,0,1,46
pareena mi casa,1.0,sector 68,8500.0,11765.0,Super Built up area 1999(185.71 sq.m.),4,4,3+,23.0,,New Property,,1999.0,,,0,0,0,0,0,1,88
takshila heights sector 37 c,0.06,sector 37,5583.0,1075.0,Super Built up area 1200(111.48 sq.m.),2,2,2,3.0,,Relatively New,,1200.0,,,0,0,0,0,0,1,23
ats marigold,1.0,sector 89,9714.0,10294.0,Carpet area: 1750 (162.58 sq.m.),3,3,3+,8.0,North,Under Construction,,,,1750.0,1,0,0,0,0,1,65
nul,6.25,sector 25,34722.0,1800.0,Plot area 200(167.23 sq.m.),5,5,3,2.0,East,Moderately Old,house,,1800.0,,0,1,0,1,0,2,112
guru gram haryana cghs,1.0,sector 56,7225.0,13841.0,Built Up area: 1910 (177.44 sq.m.),3,3,3,5.0,North,Moderately Old,,,1910.0,,1,0,0,0,0,2,134
independent,8.0,sector 38,230547.0,347.0,Built Up area: 347 (32.24 sq.m.)Carpet area: 215 sq.ft. (19.97 sq.m.),10,10,3+,1.0,North,Undefined,house,,347.0,215.0,0,0,0,0,0,1,0
independent,0.38,sector 105,76000.0,50.0,Carpet area: 50 (4.65 sq.m.),2,2,2,1.0,,Undefined,house,,,50.0,0,0,0,0,0,1,0
corona optus,1.0,sector 37c,7185.0,13918.0,Super Built up area 1990(184.88 sq.m.)Carpet area: 1700 sq.ft. (157.94 sq.m.),3,3,3+,2.0,North-West,Relatively New,,1990.0,,1700.0,1,1,0,0,1,1,49
capital residences 360,1.0,sector 70a,7586.0,13182.0,Super Built up area 1450(134.71 sq.m.),2,2,3+,8.0,,New Property,,1450.0,,,0,0,0,0,0,1,60
independent,11.75,sector 28,41315.0,2844.0,Plot area 316(264.22 sq.m.),4,5,3+,4.0,East,Relatively New,house,,2844.0,,1,1,1,0,0,2,54
eldeco accolade,1.0,sohna road,7549.0,13247.0,Super Built up area 1457(135.36 sq.m.),3,2,3,13.0,,Relatively New,,1457.0,,,0,0,0,0,0,1,56
m3m sierra 68,1.0,sector 68,10245.0,9761.0,Super Built up area 1220(113.34 sq.m.)Carpet area: 694 sq.ft. (64.47 sq.m.),2,2,3,4.0,,New Property,,1220.0,,694.0,0,0,0,0,0,1,44
tulip violet,1.0,sector 69,8445.0,11841.0,Super Built up area 1538(142.88 sq.m.),3,3,1,12.0,West,Relatively New,,1538.0,,,0,0,0,1,0,2,94
satya the hermitage,4.35,sector 103,13501.0,3222.0,Plot area 358(299.33 sq.m.),4,4,3+,2.0,North,Relatively New,house,,3222.0,,1,1,1,1,0,2,138
gls arawali homes,0.03,sohna road,6076.0,494.0,Super Built up area 576(53.51 sq.m.)Carpet area: 480.53 sq.ft. (44.64 sq.m.),2,2,2,11.0,,Relatively New,,576.0,,480.53,0,0,0,0,0,1,64
smart world orchard,2.0,sector 61,13750.0,14545.0,Super Built up area 1549(143.91 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),3,2,3,3.0,South,Under Construction,,1549.0,,1500.0,0,0,0,0,0,1,146
independent,0.7,sector 3 phase 3 extension,7007.0,999.0,Plot area 111(92.81 sq.m.),2,3,1,1.0,North,Relatively New,house,,999.0,,0,0,1,1,0,1,29
m3m heights,1.0,sector 65,15000.0,6667.0,Super Built up area 1261(117.15 sq.m.),2,2,3,4.0,,Under Construction,,1261.0,,,0,0,0,0,0,1,54
pivotal devaan,0.03,sector 84,6003.0,500.0,Super Built up area 583(54.16 sq.m.),2,2,1,4.0,East,Relatively New,,583.0,,,0,0,0,0,0,1,37
independent,6.21,sector 57,23000.0,2700.0,Plot area 300(250.84 sq.m.),6,6,3+,4.0,North-East,Old Property,house,,2700.0,,1,1,1,1,0,1,52
aardhya homesh,1.0,sector 67a,8043.0,12433.0,Carpet area: 2300 (213.68 sq.m.),4,4,0,4.0,East,Undefined,,,,2300.0,0,0,0,0,0,1,0
tulip violet,1.0,sector 69,8972.0,11146.0,Super Built up area 1538(142.88 sq.m.),3,3,1,12.0,East,Relatively New,,1538.0,,,0,0,0,0,0,1,157
signature global park,0.09,sohna road,6289.0,1431.0,Carpet area: 1439 (133.69 sq.m.),3,3,3,1.0,West,Relatively New,,,,1439.0,0,0,0,1,0,1,165
sare crescent parc,0.06,sector 92,4596.0,1305.0,Carpet area: 1414 (131.36 sq.m.),3,3,3,3.0,,Moderately Old,,,,1414.0,0,0,0,0,0,1,44
ambience creacions,4.0,sector 22,15469.0,25858.0,Super Built up area 3090(287.07 sq.m.)Built Up area: 2500 sq.ft. (232.26 sq.m.)Carpet area: 2250 sq.ft. (209.03 sq.m.),3,4,3,7.0,West,Relatively New,,3090.0,2500.0,2250.0,0,1,0,0,1,0,111
raheja vedaanta,0.07,sector 108,4666.0,1500.0,Built Up area: 1468 (136.38 sq.m.)Carpet area: 1150 sq.ft. (106.84 sq.m.),2,2,1,10.0,West,Moderately Old,,,1468.0,1150.0,0,0,0,0,0,1,0
independent,0.5,sector 6,13889.0,360.0,Plot area 40(33.45 sq.m.),5,3,3,3.0,,Old Property,house,,360.0,,0,0,0,0,0,1,0
ansal api esencia,1.0,sector 67,6435.0,15540.0,Super Built up area 1554(144.37 sq.m.),3,3,3+,2.0,,Moderately Old,,1554.0,,,0,0,0,0,0,1,9
signature global solera,0.05,sector 107,4761.0,1050.0,Super Built up area 1050(97.55 sq.m.)Built Up area: 850 sq.ft. (78.97 sq.m.)Carpet area: 645 sq.ft. (59.92 sq.m.),3,2,2,5.0,South,Relatively New,,1050.0,850.0,645.0,0,0,0,0,1,1,35
tulip violet,1.0,sector 69,8872.0,11271.0,Built Up area: 1578 (146.6 sq.m.),3,3,2,1.0,,Relatively New,,,1578.0,,0,0,0,0,0,2,69
naman residency,0.5,sector 4,11111.0,450.0,Plot area 450(41.81 sq.m.),2,2,2,2.0,West,New Property,house,,450.0,,1,1,0,1,1,1,14
ansals palam vihar,9.0,sector 2,19231.0,4680.0,Plot area 520(434.79 sq.m.),5,5,2,2.0,North,Old Property,house,,4680.0,,1,1,1,1,0,0,110
sobha city,2.0,sector 108,15195.0,13162.0,Super Built up area 1711(158.96 sq.m.),3,3,2,11.0,South,New Property,,1711.0,,,0,0,0,0,0,1,49
godrej summit,1.0,sector 104,8669.0,11535.0,Super Built up area 1269(117.89 sq.m.),2,2,3,16.0,East,Under Construction,,1269.0,,,0,0,0,0,1,1,88
shree vardhman flora,1.0,sector 90,4951.0,20198.0,Super Built up area 2575(239.23 sq.m.)Carpet area: 1950 sq.ft. (181.16 sq.m.),4,5,2,9.0,North-East,New Property,,2575.0,,1950.0,1,1,0,0,0,1,83
signature global solera,0.05,sector 107,7751.0,645.0,Carpet area: 645 (59.92 sq.m.),3,2,2,6.0,South-East,Relatively New,,,,645.0,0,0,0,0,1,1,15
corona optus,1.0,sector 37c,7236.0,13820.0,Super Built up area 1990(184.88 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),3,3,3+,2.0,North-West,Relatively New,,1990.0,,1600.0,1,1,0,0,1,1,49
palam vihar society,3.0,sector 2,7444.0,40301.0,Carpet area: 4500 (418.06 sq.m.),4,4,3+,2.0,,New Property,,,,4500.0,1,0,0,0,0,1,66
experion windchants,3.0,sector 112,13383.0,22416.0,Super Built up area 2802(260.31 sq.m.)Built Up area: 2225.56 sq.ft. (206.76 sq.m.),3,3,2,21.0,West,Relatively New,,2802.0,2225.56,,0,1,0,0,0,2,159
corona optus,1.0,sector 37c,7175.0,13937.0,Super Built up area 1735(161.19 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,3,2.0,North-West,Relatively New,,1735.0,,1400.0,1,0,0,0,0,1,49
emaar mgf palm hills,1.0,sector 77,12744.0,7847.0,Super Built up area 1450(134.71 sq.m.)Carpet area: 1177 sq.ft. (109.35 sq.m.),3,3,3,4.0,North-East,Relatively New,,1450.0,,1177.0,0,0,0,0,0,2,97
ireo victory valley,2.0,sector 67,11903.0,16802.0,Super Built up area 2411(223.99 sq.m.)Carpet area: 1808 sq.ft. (167.97 sq.m.),3,3,3+,16.0,North-West,Relatively New,,2411.0,,1808.0,0,1,0,0,0,2,174
malibu towers,2.0,sector 47,10698.0,18695.0,Carpet area: 2290 (212.75 sq.m.),3,4,2,1.0,,Old Property,,,,2290.0,1,0,0,0,0,2,42
m3m the tree of life,2.0,sector 111,14551.0,13745.0,Built Up area: 1615 (150.04 sq.m.),3,3,3+,5.0,,Under Construction,,,1615.0,,0,0,0,0,0,1,0
adani m2k oyster grande,4.0,sector 102,10000.0,40000.0,Super Built up area 4650(432 sq.m.)Built Up area: 4630 sq.ft. (430.14 sq.m.)Carpet area: 4550 sq.ft. (422.71 sq.m.),4,4,3+,11.0,North-East,Relatively New,,4650.0,4630.0,4550.0,0,0,0,0,0,2,60
emaar gurgaon greens,1.0,sector 102,14179.0,7053.0,Super Built up area 1650(153.29 sq.m.)Carpet area: 1022.58 sq.ft. (95 sq.m.),3,3,3,10.0,North-East,Relatively New,,1650.0,,1022.58,0,1,0,0,0,1,165
m3m sierra 68,1.0,sector 68,9076.0,11018.0,Super Built up area 1245(115.66 sq.m.)Built Up area: 1130 sq.ft. (104.98 sq.m.)Carpet area: 930 sq.ft. (86.4 sq.m.),2,2,3,9.0,West,Relatively New,,1245.0,1130.0,930.0,0,0,0,0,0,2,149
signature global city 63a,1.0,sector 63a,15263.0,6552.0,Super Built up area 1081(100.43 sq.m.),2,2,2,1.0,,Under Construction,,1081.0,,,0,0,0,0,0,1,0
m3m merlin,3.0,sector 67,14418.0,20807.0,Super Built up area 2358(219.07 sq.m.),3,4,3+,16.0,West,Relatively New,,2358.0,,,0,1,0,0,0,2,158
independent,3.2,sector 24,59259.0,540.0,Plot area 60(50.17 sq.m.),14,14,3+,6.0,West,Relatively New,house,,540.0,,0,0,0,0,0,0,15
m3m sierra 68,1.0,sector 68,9000.0,11111.0,Super Built up area 1250(116.13 sq.m.)Carpet area: 750 sq.ft. (69.68 sq.m.),2,2,3,1.0,North,Relatively New,,1250.0,,750.0,0,0,0,0,0,0,76
breez global hill view,0.04,sohna road,7174.0,558.0,Carpet area: 585.41 (54.39 sq.m.),2,2,1,18.0,,Relatively New,,,,585.41,0,0,0,0,0,1,44
om apartment dayanand colony,0.02,sector 5,4373.0,457.0,Carpet area: 583 (54.16 sq.m.),1,1,1,3.0,North-East,Relatively New,,,,583.0,0,0,0,0,0,1,14
tulip violet,1.0,sector 69,8883.0,11257.0,Super Built up area 1970(183.02 sq.m.),4,4,1,12.0,North-West,Relatively New,,1970.0,,,0,0,0,0,0,1,86
independent,1.8,sector 92,7627.0,2360.0,Built Up area: 2360 (219.25 sq.m.),4,5,0,13.0,,Undefined,house,,2360.0,,0,0,0,0,0,1,0
emaar mgf emerald floors premier,2.0,sector 65,14683.0,13621.0,Super Built up area 1975(183.48 sq.m.),4,4,3+,4.0,North-East,Relatively New,,1975.0,,,1,1,0,0,0,2,152
valley view estate,1.0,gwal pahari,7489.0,13353.0,Super Built up area 2000(185.81 sq.m.)Built Up area: 1850 sq.ft. (171.87 sq.m.)Carpet area: 1650 sq.ft. (153.29 sq.m.),4,4,3+,10.0,North-East,Moderately Old,,2000.0,1850.0,1650.0,0,0,0,0,0,1,58
emaar palm gardens,1.0,sector 83,8139.0,12287.0,Super Built up area 1720(159.79 sq.m.)Carpet area: 1095.3 sq.ft. (101.76 sq.m.),3,3,3,2.0,North-West,Relatively New,,1720.0,,1095.3,1,1,1,1,0,2,174
signature global superbia,0.04,sector 95,6728.0,595.0,Carpet area: 594.52 (55.23 sq.m.),2,2,3,2.0,,Under Construction,,,,594.52,0,0,0,0,0,1,0
dlf the crest,1.0,sector 54,35483.0,2818.0,Carpet area: 3100 (288 sq.m.),4,5,3+,7.0,North-East,Relatively New,,,,3100.0,1,1,0,1,0,1,49
vipul tatvam villa,7.65,sector 48,19125.0,4000.0,Built Up area: 4000 (371.61 sq.m.),4,4,3,2.0,North-East,Moderately Old,house,,4000.0,,1,1,0,0,1,1,49
independent,3.5,sector 38,24306.0,1440.0,Carpet area: 160 (133.78 sq.m.),3,3,2,1.0,East,Relatively New,house,,,160.0,0,0,0,0,0,1,0
signature the roselia,0.04,sector 95,6194.0,646.0,Built Up area: 670 (62.25 sq.m.)Carpet area: 569.25 sq.ft. (52.89 sq.m.),2,2,2,12.0,North,New Property,,,670.0,569.25,1,0,0,0,0,2,90
chd avenue,1.0,sector 71,6734.0,14850.0,Super Built up area 1485(137.96 sq.m.),3,3,3+,3.0,North,Relatively New,,1485.0,,,0,0,0,0,0,2,7
independent,16.0,sector 26,35556.0,4500.0,Plot area 500(418.06 sq.m.),5,6,3,2.0,North-East,Old Property,house,,4500.0,,0,0,0,0,0,1,0
independent,0.69,sector 7,9103.0,758.0,Built Up area: 758 (70.42 sq.m.)Carpet area: 500 sq.ft. (46.45 sq.m.),1,1,1,2.0,,Undefined,house,,758.0,500.0,0,0,0,0,0,1,0
independent,0.6,sector 105,13333.0,450.0,Built Up area: 450 (41.81 sq.m.),3,3,0,3.0,,Undefined,house,,450.0,,0,0,0,0,0,1,0
signature global solera,0.05,sector 107,7692.0,650.0,Super Built up area 546(50.73 sq.m.),2,2,1,11.0,,Relatively New,,546.0,,,0,0,0,0,0,1,55
shapoorji pallonji joyville gurugram,2.0,sector 102,16960.0,11792.0,Built Up area: 1852 (172.06 sq.m.)Carpet area: 1250 sq.ft. (116.13 sq.m.),3,3,3,9.0,,Relatively New,,,1852.0,1250.0,0,0,0,0,0,1,72
ats tourmaline,1.0,sector 109,10000.0,10000.0,Super Built up area 1750(162.58 sq.m.)Built Up area: 1466 sq.ft. (136.2 sq.m.)Carpet area: 1460 sq.ft. (135.64 sq.m.),3,3,3,4.0,,New Property,,1750.0,1466.0,1460.0,0,0,0,0,0,1,31
ambience creacions,3.0,sector 22,11500.0,26087.0,Super Built up area 2781(258.36 sq.m.),3,4,3+,2.0,North-East,New Property,,2781.0,,,0,0,0,0,0,1,42
umang monsoon breeze,0.06,sector 78,5390.0,1113.0,Carpet area: 1280 (118.92 sq.m.),2,2,2,11.0,,Moderately Old,,,,1280.0,0,0,0,0,0,1,60
ss the leaf,1.0,sector 85,7317.0,13667.0,Super Built up area 1640(152.36 sq.m.),2,2,3,12.0,South,Relatively New,,1640.0,,,0,0,0,0,0,2,157
tarc maceo,0.08,sector 91,6641.0,1205.0,Super Built up area 1310(121.7 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2,2,2,9.0,North-West,Relatively New,,1310.0,,1000.0,0,0,1,0,0,1,78
"godrej 101, sector 79",1.0,sector 79,9038.0,11064.0,Built Up area: 1383 (128.48 sq.m.),2,2,3,1.0,East,Undefined,,,1383.0,,0,0,0,0,0,1,0
shivpuri,2.8,sector 7,12444.0,2250.0,Plot area 2250(209.03 sq.m.),10,7,3,1.0,,Old Property,house,,2250.0,,1,1,0,1,1,2,0
m3m capital,3.0,sector 113,14142.0,21213.0,Carpet area: 2298 (213.49 sq.m.),4,4,3+,34.0,,Under Construction,,,,2298.0,1,1,0,1,0,1,115
avl 36 gurgaon,0.06,sector 36a,8953.0,670.0,Super Built up area 726(67.45 sq.m.),2,2,2,7.0,,Relatively New,,726.0,,,0,0,0,0,0,1,89
corona optus,1.0,sector 37c,6916.0,14459.0,Super Built up area 1735(161.19 sq.m.)Built Up area: 1635 sq.ft. (151.9 sq.m.)Carpet area: 1535 sq.ft. (142.61 sq.m.),3,4,3,8.0,South-West,Relatively New,,1735.0,1635.0,1535.0,0,0,0,0,0,1,149
bestech park view residency,0.09,sector 2,6261.0,1437.0,Super Built up area 1565(145.39 sq.m.),2,2,3,14.0,South-West,Moderately Old,,1565.0,,,1,0,0,0,0,1,92
vatika gurgaon,1.0,sector 83,7179.0,13930.0,Carpet area: 1950 (181.16 sq.m.),4,4,3,10.0,North-East,Relatively New,,,,1950.0,0,1,0,0,0,1,35
shree vardhman victoria,1.0,sector 70,14254.0,7016.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3,5,3,8.0,North,Relatively New,,1950.0,,1161.0,0,1,0,0,0,1,108
godrej summit,0.09,sector 104,5950.0,1513.0,Super Built up area 1647(153.01 sq.m.),3,3,3,12.0,East,Relatively New,,1647.0,,,0,0,0,0,1,1,79
sidhartha ncr one phase,0.09,sector 95,4500.0,2000.0,Built Up area: 2000 (185.81 sq.m.),3,3,1,15.0,,Relatively New,,,2000.0,,0,0,0,0,0,1,60
tata primanti,5.0,sector 72,11111.0,45000.0,Built Up area: 4500 (418.06 sq.m.)Carpet area: 3500 sq.ft. (325.16 sq.m.),4,4,3+,2.0,North-East,Moderately Old,,,4500.0,3500.0,1,1,0,1,1,2,174
pareena coban residences,1.0,sector 99a,6510.0,15361.0,Built Up area: 1997 (185.53 sq.m.),3,3,0,16.0,,Undefined,,,1997.0,,0,0,0,0,0,1,0
mvn athens,0.02,sohna road,3671.0,545.0,Built Up area: 681 (63.27 sq.m.)Carpet area: 581 sq.ft. (53.98 sq.m.),2,2,1,11.0,,Relatively New,,,681.0,581.0,0,0,0,0,0,2,67
pivotal devaan,0.03,sector 84,6346.0,473.0,Super Built up area 583(54.16 sq.m.)Carpet area: 483 sq.ft. (44.87 sq.m.),2,2,1,5.0,North-West,Relatively New,,583.0,,483.0,0,0,0,0,0,1,73
emaar mgf emerald floors premier,2.0,sector 65,14430.0,13860.0,Super Built up area 1975(183.48 sq.m.),4,4,3+,0.0,West,Relatively New,,1975.0,,,1,1,0,0,0,2,151
sahara grace,5.0,sector 28,14612.0,34218.0,Super Built up area 3764(349.69 sq.m.),4,5,3+,5.0,East,Moderately Old,,3764.0,,,0,1,0,0,1,2,8
indiabulls enigma,4.0,sector 110,10567.0,37854.0,Super Built up area 3880(360.46 sq.m.)Built Up area: 3500 sq.ft. (325.16 sq.m.)Carpet area: 3000 sq.ft. (278.71 sq.m.),5,5,2,10.0,East,Relatively New,,3880.0,3500.0,3000.0,0,1,0,0,0,1,159
ild greens,1.0,sector 37c,4723.0,21173.0,Super Built up area 1800(167.23 sq.m.),3,3,3,3.0,,Under Construction,,1800.0,,,0,0,0,0,0,1,51
vatika lifestyle homes,1.0,sector 83,6839.0,14622.0,Super Built up area 1827.5(169.78 sq.m.),3,2,1,6.0,South-West,Relatively New,,1827.5,,,1,1,1,1,0,0,174
umang winter hills,1.0,sector 77,7500.0,13333.0,Carpet area: 1340 (124.49 sq.m.),2,2,2,3.0,,New Property,,,,1340.0,0,0,0,0,0,1,74
today callidora,0.09,sector 73,5548.0,1622.0,Built Up area: 1622 (150.69 sq.m.),3,3,3,3.0,East,Under Construction,,,1622.0,,0,1,0,0,0,1,63
independent,3.5,sector 57,21605.0,1620.0,Plot area 180(150.5 sq.m.),4,4,3+,3.0,South,Old Property,house,,1620.0,,0,0,1,0,0,2,67
indiabulls enigma,3.0,sector 110,10882.0,27568.0,Super Built up area 3400(315.87 sq.m.),4,5,3,7.0,South-West,Relatively New,,3400.0,,,0,1,0,0,0,1,156
vipul world,3.35,sector 48,5583.0,6000.0,Built Up area: 6000 (557.42 sq.m.),6,5,3+,3.0,South,Undefined,house,,6000.0,,0,0,0,0,0,1,53
experion the heartsong,1.0,sector 108,6542.0,15286.0,Super Built up area 1758(163.32 sq.m.)Carpet area: 986 sq.ft. (91.6 sq.m.),3,2,3+,2.0,,Relatively New,,1758.0,,986.0,1,1,0,0,0,2,77
ambience creacions,3.0,sector 22,19444.0,15429.0,Carpet area: 1800 (167.23 sq.m.),3,4,3+,8.0,East,New Property,,,,1800.0,0,1,0,0,0,2,57
independent,4.0,sector 11,19753.0,2025.0,Built Up area: 225 (188.13 sq.m.)Carpet area: 180 sq.yards (150.5 sq.m.),5,4,1,2.0,North-East,Undefined,house,,225.0,180.0,0,0,0,0,0,1,0
independent,10.45,sector 50,38703.0,2700.0,Plot area 2700(250.84 sq.m.)Built Up area: 4000 sq.ft. (371.61 sq.m.),4,5,2,3.0,North,Moderately Old,house,,4000.0,,1,1,0,1,0,2,142
mittal cosmos executive apartments,0.07,sector 2,6550.0,1069.0,Super Built up area 1145(106.37 sq.m.)Built Up area: 1100 sq.ft. (102.19 sq.m.),2,2,2,15.0,,Old Property,,1145.0,1100.0,,0,0,0,0,0,2,42
breez global hill view,0.03,sohna road,6315.0,475.0,Carpet area: 554.16 (51.48 sq.m.),2,2,2,14.0,West,New Property,,,,554.16,0,0,0,0,0,1,53
emaar palm gardens,1.0,sector 83,9210.0,10858.0,Super Built up area 1900(176.52 sq.m.)Carpet area: 1240.04 sq.ft. (115.2 sq.m.),3,3,3,6.0,North-West,Relatively New,,1900.0,,1240.04,0,1,0,0,0,2,105
smart world orchard,1.0,sector 61,12250.0,8163.0,Carpet area: 1200 (111.48 sq.m.),2,2,2,2.0,,Under Construction,,,,1200.0,1,0,0,0,0,1,76
bestech park view grand spa,4.0,sector 81,10714.0,37334.0,Super Built up area 4200(390.19 sq.m.),4,6,3+,17.0,,Relatively New,,4200.0,,,0,1,0,0,0,2,44
independent,12.0,sector 40,38986.0,3078.0,Plot area 342(285.96 sq.m.),16,16,3+,4.0,,New Property,house,,3078.0,,1,1,1,1,0,2,0
breez global heights,0.04,sohna road,6694.0,598.0,Super Built up area 950(88.26 sq.m.)Carpet area: 597.53 sq.ft. (55.51 sq.m.),2,2,2,7.0,,Relatively New,,950.0,,597.53,0,0,0,0,0,1,57
ss the leaf,2.0,sector 85,5641.0,35455.0,Super Built up area 3950(366.97 sq.m.)Built Up area: 3920 sq.ft. (364.18 sq.m.)Carpet area: 3900 sq.ft. (362.32 sq.m.),4,6,3,10.0,North-West,Relatively New,,3950.0,3920.0,3900.0,0,1,0,0,0,1,174
rof ananda,0.05,sector 95,5500.0,909.0,Super Built up area 1000(92.9 sq.m.)Carpet area: 745 sq.ft. (69.21 sq.m.),3,2,2,14.0,East,New Property,,1000.0,,745.0,1,0,0,0,0,0,30
satya the hermitage,0.09,sector 103,6655.0,1352.0,Super Built up area 1991(184.97 sq.m.)Carpet area: 1495 sq.ft. (138.89 sq.m.),3,4,3+,2.0,North-East,Relatively New,,1991.0,,1495.0,0,1,0,1,0,1,174
cghs airport apartment,1.0,sector 47,7857.0,12728.0,Super Built up area 2100(195.1 sq.m.)Carpet area: 1720 sq.ft. (159.79 sq.m.),3,3,3,1.0,North-East,Old Property,,2100.0,,1720.0,0,0,0,0,1,2,136
gls arawali homes,0.02,sohna road,4938.0,405.0,Super Built up area 567(52.68 sq.m.)Built Up area: 500 sq.ft. (46.45 sq.m.)Carpet area: 467 sq.ft. (43.39 sq.m.),2,2,2,3.0,East,Relatively New,,567.0,500.0,467.0,0,0,0,0,0,2,42
dlf the ultima,2.0,sector 81,10476.0,19091.0,Super Built up area 2100(195.1 sq.m.),3,4,3+,17.0,East,Relatively New,,2100.0,,,0,1,0,0,0,0,49
tata primanti,4.0,sector 72,13769.0,29051.0,Super Built up area 2905(269.88 sq.m.)Built Up area: 2800 sq.ft. (260.13 sq.m.)Carpet area: 2500 sq.ft. (232.26 sq.m.),4,5,3+,9.0,North-East,Relatively New,,2905.0,2800.0,2500.0,0,1,0,0,0,2,165
landmark the residency,0.09,sector 103,6666.0,1350.0,Super Built up area 1350(125.42 sq.m.),2,2,2,1.0,South-West,Relatively New,,1350.0,,,0,0,0,0,0,1,44
corona gracieux,1.0,sector 76,5500.0,18182.0,Super Built up area 2650(246.19 sq.m.),4,6,3+,8.0,,New Property,,2650.0,,,0,1,0,0,0,1,58
sukhshanti apartment,1.0,sector 56,7727.0,12942.0,Built Up area: 2200 (204.39 sq.m.)Carpet area: 1610 sq.ft. (149.57 sq.m.),3,3,3,4.0,South,Moderately Old,,,2200.0,1610.0,1,0,0,0,0,1,49
satya element one,0.09,sector 49,14009.0,642.0,Carpet area: 671 (62.34 sq.m.),1,2,2,2.0,East,Undefined,,,,671.0,0,0,0,0,0,1,0
conscient elevate,4.0,sector 59,18518.0,21601.0,Super Built up area 2295(213.21 sq.m.),3,4,3,3.0,,Under Construction,,2295.0,,,0,0,0,0,0,1,0
madan puri,0.75,sector 7,12500.0,600.0,Plot area 600(55.74 sq.m.),3,5,3,3.0,South-East,Moderately Old,house,,600.0,,0,0,0,0,0,1,0
bptp astaire gardens,1.0,sector 70a,8771.0,11401.0,Super Built up area 1425(132.39 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),3,3,2,1.0,South-East,Relatively New,,1425.0,1300.0,1200.0,0,0,0,0,1,1,49
signature global solera 2,0.05,sector 107,8928.0,560.0,Carpet area: 560 (52.03 sq.m.),2,2,2,13.0,,New Property,,,,560.0,0,0,0,0,0,1,8
pareena coban residences,1.0,sector 99a,7811.0,12802.0,Super Built up area 1997(185.53 sq.m.),3,5,3,4.0,North-East,New Property,,1997.0,,,0,1,0,0,1,1,49
independent,10.0,sector 24,229885.0,435.0,Carpet area: 435 (40.41 sq.m.),8,10,3+,1.0,West,Undefined,house,,,435.0,0,0,0,0,0,1,0
vipul tatvam villa,8.5,sector 48,26235.0,3240.0,Plot area 360(301.01 sq.m.),4,4,2,,East,Moderately Old,house,,3240.0,,0,1,1,1,0,1,88
bhemerlei,0.06,sohna road road,5100.0,1176.0,Built Up area: 1350 (125.42 sq.m.),2,2,2,3.0,,Under Construction,,,1350.0,,0,0,0,0,0,1,0
pareena coban residences,1.0,sector 99a,6625.0,15094.0,Super Built up area 1997(185.53 sq.m.)Built Up area: 1750 sq.ft. (162.58 sq.m.)Carpet area: 1630 sq.ft. (151.43 sq.m.),3,5,3,2.0,West,Relatively New,,1997.0,1750.0,1630.0,0,1,0,0,1,1,49
antriksh heights,0.08,sector 84,5556.0,1440.0,Super Built up area 1350(125.42 sq.m.),2,2,3,10.0,North-West,New Property,,1350.0,,,1,0,0,0,1,1,24
valley view estate,1.0,gwal pahari,8278.0,12080.0,Carpet area: 1812 (168.34 sq.m.),4,4,3+,9.0,North,Old Property,,,,1812.0,1,1,0,0,1,1,135
hero homes,1.0,sector 104,17548.0,5699.0,Super Built up area 1099(102.1 sq.m.)Carpet area: 683.83 sq.ft. (63.53 sq.m.),2,2,2,22.0,,Under Construction,,1099.0,,683.83,0,0,0,0,0,1,30
dlf the icon,5.0,sector 43,20388.0,24524.0,Super Built up area 2575(239.23 sq.m.)Built Up area: 2570 sq.ft. (238.76 sq.m.)Carpet area: 2560 sq.ft. (237.83 sq.m.),4,4,3,9.0,North,Old Property,,2575.0,2570.0,2560.0,0,1,0,1,1,1,135
independent,9.0,sector 13,100000.0,900.0,Plot area 900(83.61 sq.m.),10,5,3+,4.0,,Old Property,house,,900.0,,0,0,0,0,0,1,0
project housing board colony,2.58,sector 28,17695.0,1458.0,Carpet area: 1300 (120.77 sq.m.),4,2,2,2.0,,Undefined,house,,,1300.0,0,0,0,0,0,1,0
dlf express greens,1.0,manesar,6808.0,14689.0,Carpet area: 2350 (218.32 sq.m.),4,6,3+,4.0,North-East,Relatively New,,,,2350.0,1,1,0,1,0,1,49
