society,price,sector,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,property_type,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
hcbs sports ville,0.02,sohna road,741.0,1,1,2,1.0,New Property,flat,360.0,0,0,0,0,0,1,68
shree vardhman victoria,1.0,sector 70,820.0,3,5,3,7.0,New Property,flat,1527.0,0,1,0,1,0,1,37
indiabulls centrum park,2.0,sector 103,835.0,4,6,3+,15.0,Relatively New,flat,2456.0,0,1,0,0,0,1,156
independent,4.6,sector 14,20444.0,1,1,0,1.0,Old Property,house,2250.0,0,0,0,0,0,1,0
godrej,1.0,sector 79,821.0,2,2,3,4.0,New Property,flat,1423.0,0,0,0,0,0,1,0
suncity vatsal valley,1.0,gwal pahari,965.0,3,3,2,1.0,Relatively New,flat,1294.0,0,0,0,0,0,2,151
ss the leaf,1.0,sector 85,718.0,2,2,3,10.0,Relatively New,flat,1730.0,0,0,0,0,0,1,49
m3m woodshire,0.09,sector 107,688.0,2,2,3+,1.0,Moderately Old,flat,1236.0,0,0,0,0,0,1,113
mapsko casa bella,1.0,sector 82,544.0,4,5,3+,20.0,Relatively New,flat,2294.0,0,1,0,0,0,1,79
hsiidc sidco aravali,0.09,manesar,348.0,3,3,3,2.0,Old Property,flat,1900.0,0,1,0,0,0,0,21
ild greens,0.09,sector 37c,922.0,2,2,3+,11.0,Relatively New,flat,1179.0,0,0,1,1,0,2,119
emaar mgf palm hills,1.0,sector 77,540.0,3,4,3+,5.0,Relatively New,flat,1810.0,1,1,0,0,1,2,167
sare petioles,1.0,sector 92,637.0,4,4,0,7.0,Relatively New,flat,2040.0,0,0,0,0,0,1,0
smart world gems,0.09,sector 89,816.0,2,2,2,3.0,New Property,flat,998.0,1,0,0,0,1,1,95
gls arawali homes,0.02,sohna road,431.0,2,2,2,12.0,New Property,flat,588.0,0,0,0,0,0,1,0
signature global city 81,0.08,sector 81,828.0,2,2,2,3.0,Under Construction,flat,1194.0,0,0,0,0,1,1,20
m3m woodshire,0.09,sector 107,642.0,2,2,3,7.0,Relatively New,flat,1281.0,1,0,0,0,0,2,174
uphaar homes,0.04,sector 105,473.0,3,2,1,1.0,Relatively New,flat,1056.0,0,0,0,0,0,2,44
ambience lagoon,4.0,sector 24,1328.0,3,4,3+,3.0,Old Property,flat,3201.0,0,1,0,1,0,2,143
aipl zen residences,1.0,sector 70a,990.0,2,2,3,19.0,Relatively New,flat,1402.0,0,0,0,0,0,1,0
ats tourmaline,2.0,sector 109,812.0,3,4,3+,11.0,Relatively New,flat,2100.0,0,1,0,0,0,2,165
mapsko mount ville,1.0,sector 79,802.0,3,3,3+,1.0,Relatively New,flat,1213.0,0,0,0,0,0,2,140
eldeco accolade,1.0,sohna road,653.0,3,3,3+,4.0,Relatively New,flat,1382.0,0,0,0,0,0,1,157
tata primanti,3.0,sector 72,1215.0,4,5,3+,20.0,Relatively New,flat,2376.0,0,1,0,0,0,2,159
satya the hermitage,3.15,sector 103,6702.0,4,5,0,12.0,Relatively New,house,4700.0,0,0,0,0,0,1,61
independent,7.35,sector 45,29697.0,6,4,3+,3.0,Old Property,house,2475.0,1,1,1,1,0,2,61
ireo uptown,2.0,sector 66,1306.0,3,2,3,5.0,Relatively New,flat,1700.0,0,1,0,0,0,2,156
ansal heights,0.07,sector 92,450.0,3,3,3,9.0,Relatively New,flat,1700.0,0,1,0,0,0,1,49
international city by sobha phase 1,5.9,sector 109,24280.0,4,5,2,2.0,Relatively New,house,2430.0,0,1,0,0,0,2,111
swarn jayanti cghs,1.0,sector 54,761.0,4,3,3+,3.0,Old Property,flat,1900.0,0,0,0,0,1,2,26
