sector,bedRoom,bathroom,balcony,agePossession,property_type,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
74.0,3,2,3.0,3.0,0.0,1700.0,1,0,2,2.0,2.0,2.0
105.0,3,3,3.0,3.0,0.0,1700.0,1,0,1,0.0,2.0,0.07
11.0,4,5,2.0,3.0,1.0,2430.0,1,0,2,1.0,1.0,5.9
61.0,4,3,4.0,2.0,0.0,1900.0,0,0,2,0.0,2.0,1.0
105.0,2,2,3.0,4.0,0.0,1217.0,0,0,1,0.0,2.0,0.07
78.0,4,4,1.0,3.0,0.0,1783.0,0,0,1,1.0,0.0,1.0
96.0,2,2,2.0,1.0,0.0,565.0,0,0,2,0.0,2.0,0.04
38.0,3,2,2.0,0.0,0.0,1450.0,0,0,0,1.0,1.0,1.0
111.0,2,2,2.0,3.0,0.0,822.0,0,0,1,1.0,2.0,0.05
47.0,3,2,1.0,1.0,1.0,684.0,0,0,1,0.0,1.0,0.7
64.0,5,6,4.0,0.0,0.0,5010.0,1,0,2,2.0,0.0,5.0
78.0,3,3,2.0,3.0,0.0,1455.0,0,0,1,1.0,1.0,1.0
15.0,4,5,4.0,3.0,0.0,2700.0,1,0,2,0.0,2.0,3.0
47.0,3,3,0.0,0.0,1.0,1130.0,0,0,1,0.0,1.0,0.85
97.0,3,4,4.0,1.0,0.0,2179.0,0,1,1,1.0,2.0,1.0
110.0,4,3,4.0,0.0,0.0,2056.0,0,0,1,0.0,2.0,1.0
39.0,5,7,4.0,4.0,1.0,4071.0,1,1,1,1.0,1.0,9.5
9.0,2,2,4.0,1.0,0.0,1236.0,0,0,1,1.0,0.0,0.09
80.0,3,3,3.0,4.0,0.0,1865.0,0,0,2,1.0,0.0,1.0
68.0,3,3,3.0,3.0,0.0,2400.0,1,0,2,2.0,2.0,3.0
63.0,5,6,4.0,3.0,1.0,1512.0,0,0,2,0.0,2.0,3.25
111.0,2,2,2.0,3.0,0.0,720.0,0,0,1,0.0,2.0,0.03
97.0,2,2,3.0,3.0,0.0,1638.0,0,1,1,2.0,2.0,1.0
